sentence sentiment	Spricht über eine fremde Meinung (innerhalb des Parlaments). Speaks about somebody else’s opinion (of speakers of the parliament or political parties. Does not include opinions of external sources, e.g. experts)	Spricht sich explizit für/gegen einen Lockdown aus	Spricht sich explizit positiv/negativ über die Auswirkungen eines Lockdowns aus	Spricht sich positiv/negativ über die Gestaltung/Umsetzung/Organisation eines Lockdowns aus (wenn es um Vorschläge geht ist das mit einem s gekennzeichnet (suggestion))	Subjective Judgement of Overall Opinion (for/against) Lockdown	Subjective Overall Opinion for/against Lockdown (aggressive judgement)							
-	x	x	x	x	o	-	134514	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Sonja Hammerschmid (SPÖ)	False	Wir wissen aber schon aus der ersten Phase des Lockdowns, dass es 140 000 Kinder gibt, die kein eigenes Endgerät zu Hause haben.
-	x	x	-	-	o	-	134580	2020_11_17	62	FPÖ	Abgeordneter Hermann Brückl, MA (FPÖ)	False	Die Regierung wäre gut beraten, wenn sie versuchen würde, diesen von ihr angesetzten Keil wieder herauszubringen, und die Regierung wäre auch gut beraten, wenn sie bud­getär dafür sorgen würde, dass die Folgeschäden, die jetzt durch diesen zweiten Schul­lockdown entstehen, der vom ÖVP-Bundesparteiobmann im Alleingang beschlos­sen wurde, abgefedert werden.
-	#	#+	-	-	o	-	134581	2020_11_17	62	FPÖ	Abgeordneter Hermann Brückl, MA (FPÖ)	False	In diesem Sinne darf ich folgenden Antrag einbringen: der Abgeordneten Hermann Brückl, MA, Kolleginnen und Kolleginnen betreffend „aus­reichende Budgetmittel für Schulschließungs- und Lockdown-Verlierer“ Der Nationalrat wolle beschließen: „Die Bundesregierung und insbesondere der Bundesminister für Bildung, Wissenschaft und Forschung werden aufgefordert, die notwendigen Budgetmittel für Begleit­maß­nahmen sicherzustellen, um mit diesen Maßnahmen die Folgeschäden des Schul-Lock­downs möglichst gering zu halten“ Der Herr Bundeskanzler wäre im Übrigen auch gut beraten, wenn er, anstatt die dritte Welle, den dritten Lockdown anzukündigen, wie er es heute in den Medien getan hat, dafür sorgen würde, dass man den Menschen Hoffnung gibt und dass er nach außen etwas Positives ausstrahlt.
-	x	x	x	x	o	-	134584	2020_11_17	62	FPÖ	Abgeordneter Hermann Brückl, MA (FPÖ)	False	Der Antrag hat folgenden Gesamtwortlaut: des Abgeordneten Hermann Brückl, MA und weiterer Abgeordneter betreffend ausreichende Budgetmittel für Schulschließungs- und Lockdown-Verlierer eingebracht in der 62.
o	#	#-	x	x	o	o	134596	2020_11_17	62	FPÖ	Abgeordneter Hermann Brückl, MA (FPÖ)	False	Sie lehnt einen Bildungslockdown ab.
-	x	x	-	x	o	-	134607	2020_11_17	62	FPÖ	Abgeordneter Hermann Brückl, MA (FPÖ)	False	Daher stellen die unterzeichnenden Abgeordneten folgenden Der Nationalrat wolle beschließen: „Die Bundesregierung und insbesondere der Bundesminister für Bildung, Wissenschaft und Forschung werden aufgefordert, die notwendigen Budgetmittel für Begleit­maß­nahmen sicherzustellen, um mit diesen Maßnahmen die Folgeschäden des Schul-Lockdowns möglichst gering zu halten“
-	x	x	x	x	o	o	135401	2020_11_17	62	SPÖ	Abgeordnete Eva Maria Holzleitner, BSc (SPÖ)	False	Dieser „Pop-up Chancenindex“ startet wohl auch erst im Oktober 2021 – 18 Monate nach den ersten Schulschließungen während des Covid-19-Pandemie Lockdowns im Frühjahr 2020.
-	x	x	x	+	o	+	135428	2020_11_17	62	ÖVP	Abgeordnete MMag. Dr. Agnes Totter, BEd (ÖVP)	True	Auf die Frage, die Sie sich permanent stellen: Hat die Bundesregierung den Lockdown und damit auch die Umstellung auf Distancelearning zu spät verhängt?, kann ich nur die Antwort unseres Bundeskanzlers wiederholen: Ein harter Lockdown wäre vor Wochen nicht möglich gewesen, weil die Bereitschaft der Menschen für diese Maßnahme vielfach gefehlt hat.
-	x	+	x	x	+	+	135432	2020_11_17	62	ÖVP	Abgeordnete MMag. Dr. Agnes Totter, BEd (ÖVP)	True	Der Lockdown und die Umstellung auf Distancelearning waren notwendig, und ich bitte Sie: Tun wir nicht so, als ob die Schule eine eigene Blase bilden würde, in die das Coronavirus gar nicht hinein könne!
o	x	x	o	x	o	o	135562	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Petra Oberrauner (SPÖ)	False	Mit der Schließung der Schulen im ersten Lockdown wurde der Unter­richt in die eigenen vier Wände verschoben und „distance learning“ zur Notwen­digkeit.
-	x	x	-	x	-	-	135642	2020_11_17	62	SPÖ	Abgeordnete Petra Vorderwinkler (SPÖ)	False	Wenn es in den ersten paar Monaten 2021 zu einem dritten Lockdown kommen sollte: Wie werden Sie damit umgehen, dass 1,1 Millionen Schülerinnen und Schüler dann ein ganzes Jahr verlieren?
o	x	x	x	x	o	o	135734	2020_11_17	62	ÖVP	Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller (ÖVP)	True	Gerade jetzt im zweiten Lockdown ist das sehr wichtig.
-	x	x	-	x	o	-	135758	2020_11_17	62	FPÖ	Abgeordnete Rosa Ecker, MBA (FPÖ)	False	Moder­nem Frauenbild drohen Rückschritte; Negative Entwicklung für Frauen; Frauen tragen die Hauptlast; „Die unbemerkte Multiarbeit von Frauen“; Es bleibt an den Frauen hängen; Coronakrise wird die Situation noch verschlechtern; „Krise führt zu Tradition statt Wandel“; Frauen von Coronakrise schwerer betroffen; Wer die Möglichkeit hat, soll zu Hause betreuen; Wer Bedarf hat, dem stehen die Einrichtungen offen; Frauen sind die großen Verliererinnen in der Covid-Krise; Sonderbetreuung gilt im Lockdown nicht; „Frauen zerreißen sich und fühlen sich trotzdem wie Versagerinnen“.
o	x	x	x	x	o	o	135761	2020_11_17	62	FPÖ	Abgeordnete Rosa Ecker, MBA (FPÖ)	False	Ich bringe Ihnen noch eine ganz aktuelle: „Frauen bringen uns auch durch den zweiten Lockdown“.
-	x	x	-	x	-	-	135763	2020_11_17	62	FPÖ	Abgeordnete Rosa Ecker, MBA (FPÖ)	False	Frauen bringen uns auch durch den zweiten Lockdown: wieder ein Lockdown, wieder eine große Herausfor­de­rung, und wieder trifft es zum überwiegenden Teil die Frauen.
-	x	x	-	x	o	-	135776	2020_11_17	62	FPÖ	Abgeordnete Rosa Ecker, MBA (FPÖ)	False	Wir wissen das aus den gestiegenen Zahlen der Wegweisungen und der Betretungsverbote während des ersten Lockdowns.
-	x	x	-	x	-	-	135785	2020_11_17	62	FPÖ	Abgeordnete Rosa Ecker, MBA (FPÖ)	False	Die Frauen haben während des Lockdowns laut Studien rund 5 100 Euro an Lebenseinkommen verloren, und das betrifft auch die selbstständigen Frauen.
-	x	x	-	x	o	-	135881	2020_11_17	62	NEOS	Abgeordnete Henrike Brandstötter (NEOS)	False	Demnach sagt jede zweite Frau, dass die Coronakrise die Ungleichheit zwischen den Geschlechtern verschärft und Frauen während des Lockdowns wieder vermehrt in traditionelle Rollen gerutscht sind.
-	x	x	x	x	o	o	135887	2020_11_17	62	NEOS	Abgeordnete Henrike Brandstötter (NEOS)	False	Dort hat man den ersten Lockdown mit einer Studie begleitet und eine – aufgepasst!
-	x	x	x	x	o	o	135900	2020_11_17	62	ÖVP	Bundesministerin für Frauen und Integration im Bundeskanzleramt MMag. Dr. Susanne Raab	True	Wir befinden uns inmitten der Coronapandemie, inmitten des zweiten Lock­downs.
-	x	x	x	+	o	+	135922	2020_11_17	62	ÖVP	Bundesministerin für Frauen und Integration im Bundeskanzleramt MMag. Dr. Susanne Raab	True	In dieser Woche werden in Apotheken, in Arztpraxen niedergelassener Ärzte und auch im Handel bundesländerspezifische Beratungsinformationen zur Verfügung stehen, damit auch während des Lockdowns sichergestellt ist, dass alle Frauen wissen, wo sie Hilfe bekommen.
o	x	x	-	x	o	o	135989	2020_11_17	62	ÖVP	Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller (ÖVP)	True	Herr Kollege Kucher hat gerade behauptet, beim ersten Lockdown, als es für die Frauen schwierig geworden ist, habe die Frau Ministerin geschwiegen.
+	x	x	x	+	o	+	135994	2020_11_17	62	ÖVP	Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller (ÖVP)	True	Anfang März gab es eine Pressekonferenz mit Frau Ministerin Raab und Frau Ministerin Zadić, in der sie bekannt gegeben haben, welche Maßnahmen sie getroffen haben, um die vom Lockdown betroffenen Frauen zu unterstützen.
-	x	x	-	x	o	-	136042	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Petra Oberrauner (SPÖ)	False	Während des Lockdowns haben sie das Gefühl, dass sie wieder in die traditionellen Rollen zurückrutschen.
-	x	x	-	x	o	-	136048	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Petra Oberrauner (SPÖ)	False	Frauen übernehmen ihre Verantwortung – von der Kinder­betreuung bis zur Pflege von Angehörigen – unter den schwierigsten Bedingungen, sie kümmern sich um Familie, Arbeit, Haushalt und um die Sorgen betreffend Lockdowns und sonstige Dinge.
-	x	x	x	-	o	-	136369	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Wir haben jetzt einen zweiten sogenannten harten Lockdown, und das Einzige, was von Ihnen kommt, ist ein freundliches Lächeln.
-	x	-	-	x	-	-	136379	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Sie machen einen zweiten Lockdown, Sie sperren den Leuten ihre Existenz!
o	x	x	o	x	o	+	136436	2020_11_17	62	ÖVP	Abgeordnete MMMag. Gertraud Salzmann (ÖVP)	True	Es ist die Oberstufe seit einigen Wochen im Distancelearning, es sind derzeit, im Lock­down, die Unterstufe, die Sekundarstufe I und die Volksschule auch im Distancelearning, aber diese Schulen sind offen.
-	x	x	-	x	o	-	136456	2020_11_17	62	Grüne	Abgeordneter Mag. Markus Koza (Grüne)	True	So erfreulich es ist, dass im Rahmen des zweiten Lock­downs die Unternehmensunterstützungen an den Erhalt der Beschäftigung gebun­den wurden – also ohne dass der Beschäftigtenstand gleich bleibt, gibt es keine Förderungen, Unterstützungen, Hilfen –, ist trotzdem zu befürchten, dass die Arbeitslosigkeit auch in den nächsten Wochen und Monaten noch steigen wird.
-	x	x	-	-	-	-	136489	2020_11_17	62	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Der zweite Lockdown wird seine Folgen erst zeigen, die Stellenabbau­program­me werden weitergehen und der dritte Lockdown steht ante portas, so wie die Regierung vor sich hinstolpert und von Woche zu Woche überlegt, was sie vielleicht noch machen könnte.
-	x	x	-	x	o	-	136622	2020_11_17	62	FPÖ	Abgeordneter Peter Wurm (FPÖ)	False	Das steigt wöchentlich dramatisch an und wir stehen jetzt erst am Anfang dieses zweiten oder eigentlich dritten Lockdowns.
-	x	x	-	x	o	-	136657	2020_11_17	62	FPÖ	Abgeordneter Peter Wurm (FPÖ)	False	Über die Sommermonate und nach Ende des ersten Lockdowns sind die Arbeitslosen­zahlen zwar kurzfristig wieder zurückgegangen, durch den zweiten Lockdown werden die Arbeitslosenzahlen jedoch wohl bis Ende 2020 die arbeitsmarkpolitische „Schall­mauer“ von 500.000 Arbeitslosen wieder deutlich durchschlagen.
-	x	x	-	x	o	-	0	2020_11_17	62	NEOS	Abgeordneter Michael Bernhard (NEOS)	False	Auch mein Nebenjob, den ich mir im Sommer suchen musste, ist nun vom zweiten Lockdown betroffen.
-	x	x	-	x	-	-	136725	2020_11_17	62	NEOS	Abgeordneter Michael Bernhard (NEOS)	False	Es ist nicht der Fall, denn all diese konkreten Familien beginnen jetzt im zweiten Lock­down bei den Lebensmitteln zu sparen, und die Frage ist, wo sie dann im dritten Lock­down sparen müssen.
-	x	x	-	-	o	-	136731	2020_11_17	62	NEOS	Abgeordneter Michael Bernhard (NEOS)	False	Damit komme ich schon zu einem ersten Punkt, Frau Ministerin Aschbacher: Es fehlt eine gezielte Maßnahme für die Familien, die jetzt im zweiten Lockdown wirklich nicht mehr können.
-	x	x	-	-	o	-	136735	2020_11_17	62	NEOS	Abgeordneter Michael Bernhard (NEOS)	False	Wenn Sie aber zwei oder drei Lockdowns machen, wenn Sie Unternehmen monatelang zusperren, dann reichen drei Monate nicht aus.
-	x	x	x	-	o	-	136748	2020_11_17	62	NEOS	Abgeordneter Michael Bernhard (NEOS)	False	Es hilft auch nichts, wenn Sie zugleich jenen Leistungsträgerinnen und -trägern, die aus Ost- und Südosteuropa kommen und auch im Lockdown weiter für uns arbeiten, etwa in der Pflege und im Einzelhandel, weiterhin die Indexierung der Familienleistungen vor Augen führen.
-	x	x	-	x	o	-	136762	2020_11_17	62	ÖVP	Bundesministerin für Arbeit, Familie und Jugend Mag. (FH) Christine Aschbacher	True	Insofern verlangt auch dieser Lockdown von uns allen enorm viel ab, von jedem und jeder Einzelnen, der beziehungsweise die betroffen ist.
+	x	x	x	+	o	+	136774	2020_11_17	62	ÖVP	Bundesministerin für Arbeit, Familie und Jugend Mag. (FH) Christine Aschbacher	True	Wir haben Anpassungen bei der Coronakurzarbeit vorgenommen: All jene Unternehmen, die jetzt direkt vom Lockdown betroffen sind, können nun die Arbeitszeit ihrer Mitarbeiter auf 0 Prozent reduzieren, sodass keine Mitarbeiterinnen und Mitarbeiter gekündigt werden müssen.
+	x	x	x	+	+	+	136775	2020_11_17	62	ÖVP	Bundesministerin für Arbeit, Familie und Jugend Mag. (FH) Christine Aschbacher	True	Alle können jetzt durch diesen Lockdown kom­men, weil die Coronakurzarbeit dafür adaptiert wurde.
+	x	x	x	+	o	+	136831	2020_11_17	62	ÖVP	Bundesministerin für Arbeit, Familie und Jugend Mag. (FH) Christine Aschbacher	True	Diese Erfahrung aus dem ersten Lockdown haben wir für diese Phase jetzt im Herbst weiterentwickelt, damit die Kinder vor allem in einem vertrauten, zumutbaren Umfeld unterstützt werden.
+	x	x	x	+s	o	o	136994	2020_11_17	62	FPÖ	Abgeordnete Edith Mühlberghuber (FPÖ)	False	Sie würde auch viele Vorteile für Eltern und ihre Kinder bringen; gerade jetzt im Lockdown spüren Eltern, wie schwierig es ist, dass man Arbeit und Kinder­betreuung unter einen Hut bringt, und genau diese Doppelresidenz wäre zum Wohle der Eltern und Kinder in unserem Land und würde Großes beitragen.
-	x	x	x	-	o	-	137065	2020_11_17	62	NEOS	Abgeordneter Josef Schellhorn (NEOS)	False	Ihr glaubt, am 30. November ist das mit dem Lockdown vorbei und dann wird sich das schon irgendwie regeln – dann machen wir vielleicht irgendetwas Erratisches noch einmal mit irgendeinem Umsatzersatz, aber damit ist es nicht getan.
+	x	x	x	+	o	+	137095	2020_11_17	62	ÖVP	Abgeordneter Laurenz Pöttinger (ÖVP)	True	Diese Kurzarbeitsregelung wird uns auch im zweiten Lockdown helfen , das haben wir schon im ersten Lockdown gesehen.
-	x	x	-	x	o	-	137112	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Petra Oberrauner (SPÖ)	False	Da steht – ich zitiere –: „Wegen des Lockdowns verschlechtert sich die Lage am Arbeitsmarkt jetzt wieder dramatisch: Österreichweit sind rund 613 600 Menschen arbeitslos oder in Kurzarbeit, und die Zahlen steigen weiter.
-	x	x	-	x	o	-	137213	2020_11_17	62	SPÖ	Abgeordnete Petra Wimmer (SPÖ)	False	Verstärkt wird diese Belastung jetzt noch einmal besonders durch den aktuellen Lockdown.
-	x	x	-	x	-	-	137327	2020_11_17	62	ohne Klubzugehörigkeit	Abgeordnete Pia Philippa Strache (ohne Klubzugehörigkeit)	False	Ich denke, auch mit den vielen Maßnahmen, die im ersten Lockdown getroffen wurden, ist nichts anderes passiert, als einen künstlichen Stau­damm zu errichten.
-	x	-	x	-	-	-	137328	2020_11_17	62	ohne Klubzugehörigkeit	Abgeordnete Pia Philippa Strache (ohne Klubzugehörigkeit)	False	Ich glaube, dass er brechen wird, ich gehe ziemlich sicher davon aus, weil jetzt der zweite Lockdown auch nichts anderes macht.
+	x	x	x	x	o	o	137339	2020_11_17	62	ohne Klubzugehörigkeit	Abgeordnete Pia Philippa Strache (ohne Klubzugehörigkeit)	False	Im ersten Lockdown hat man etwas Schönes gesagt: systemrelevante Berufe.
-	x	x	x	-	o	-	137465	2020_11_17	62	FPÖ	Abgeordneter Dipl.-Ing. Gerhard Deimek (FPÖ)	False	Wir schmeißen Milliarden Euro in den medizinischen Bereich, aber wir haben jetzt zum zweiten Mal die Situation, dass der Lockdown zu einem Zeitpunkt kommt, an dem die Infektionswerte eigentlich schon wieder zurückgehen, und sei es nur ein paar Tage.
-	x	-	x	-	-	-	137489	2020_11_17	62	FPÖ	Abgeordneter Dipl.-Ing. Gerhard Deimek	False	Nun folgte wieder ein Lockdown ohne wissenschaftliche Evidenz und ohne Begleit­forschung.
-	x	x	x	-	-	-	137490	2020_11_17	62	FPÖ	Abgeordneter Dipl.-Ing. Gerhard Deimek	False	Ein Blindflug in einen dritten Lockdown ist damit zu befürchten.
o	x	x	x	s+	o	o	137980	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Sonja Hammerschmid (SPÖ)	False	Die Begleitforschung, die ich mir auch so sehr wünschen würde, ist heute schon zum Thema geworden; das bräuchte es dringend für eine interdisziplinäre Betrachtung und Bewertung der Maßnahmen, die wir im Lockdown setzen.
o	x	x	x	x	o	o	138374	2020_11_17	62	NEOS	Abgeordneter Dr. Helmut Brandstätter (NEOS)	False	Bitte geben Sie ihm einen Stoß, dass er sich etwas Gescheites überlegt, dass es eine Möglichkeit gibt, auch in den kommenden Wochen des Lockdowns an Bücher zu kommen.
+	x	x	x	+	o	+	138587	2020_11_17	62	ÖVP	Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller (ÖVP)	True	Sie haben durch die Notvergabe sichergestellt, dass diese Verbindungen im Lockdown eins funktioniert haben.
-	x	x	-	x	o	-	138588	2020_11_17	62	ÖVP	Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller (ÖVP)	True	Das hat uns ein bisschen Geld gekostet, 53,7 Millionen Euro für die Westbahn und die ÖBB zusammen, und leider schaut es so aus, als würde es auf­grund des Lockdown zwei noch einmal eine Notvergabe geben müssen.
o	x	x	x	x	o	o	138847	2020_11_17	62	ÖVP	Abgeordneter Andreas Kühberger (ÖVP)	True	Wir in Österreich befinden uns im Lockdown.
+	x	+	x	x	+	+	138848	2020_11_17	62	ÖVP	Abgeordneter Andreas Kühberger (ÖVP)	True	Unsere Bundesregierung hat diesen Lockdown gemacht, weil er notwendig für das Gesundheitssystem war, weil wir dadurch sehr viele Menschenleben retten.
-	x	x	-	x	o	-	138921	2020_11_17	62	SPÖ	Abgeordneter Kai Jan Krainer (SPÖ)	False	Da kam es zuerst zu den Reisebeschränkungen, dann kam es zum Lockdown light und jetzt zum vollen Lockdown, den wir ja seit Dienstag haben.
-	x	x	x	-	o	-	138923	2020_11_17	62	SPÖ	Abgeordneter Kai Jan Krainer (SPÖ)	False	Die Folgen des Lockdowns, vor allem des jetzigen Lockdowns, sind zwar vorab von den Wirtschaftsforschern bereits geschätzt worden, aber sie sind im Budget nicht enthalten.
o	x	x	o	x	o	o	138928	2020_11_17	62	SPÖ	Abgeordneter Kai Jan Krainer (SPÖ)	False	Die Wirtschaftsforscher sagen, aufgrund des Lockdowns wird sie wahrscheinlich um bis zu 10 Prozent höher sein.
-	x	x	x	-	o	-	139158	2020_11_17	62	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	Was ich aber anders sehe – und da muss ich ihm widersprechen –, ist einfach der Punkt, dass man, wenn man ein Budget vorlegt und wenn man in einem harten Lock­down ist, natürlich die Zeit haben müsste, das einzupreisen.
-	x	x	x	-	o	-	139183	2020_11_17	62	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	Umsatzersatz, das nächste Tool: Ja, ich bleibe da wirklich bei meiner Einschätzung, dass dieses Instrument für Zeiten des Lockdowns falsch aufgesetzt ist.
o	x	x	x	+s	o	o	139184	2020_11_17	62	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	Während des Lockdowns gibt es ein Tool, das viel besser geeignet ist, ein Instrument, das eben diesen Mantel der Katastrophenhilfe hat.
o	x	x	x	x	o	o	139245	2020_11_17	62	ÖVP	Abgeordneter Gabriel Obernosterer (ÖVP)	True	Unser Finanzminister hat, als wir gehört haben, dass der zweite Lockdown kommt, ein Abänderungsbudget eingebracht, und wir haben das auch bearbeitet und sind auf diese Zahlen auch schon eingegangen.
-	x	x	-	x	o	-	139410	2020_11_17	62	SPÖ	Abgeordneter Maximilian Köllner, MA (SPÖ)	False	Seit dem ersten Lockdown im März sind nämlich die Umsätze der Reisebüros und -ver­anstalter in den Keller gerasselt wie Aktienkurse bei einem Börsencrash.
-	x	x	-	x	o	-	139455	2020_11_17	62	ÖVP	Abgeordneter Mag. Andreas Hanger (ÖVP)	True	Zum Dritten – das ist mir auch ganz wichtig, das hat auch Wirtschaftsforscher Kocher in einem Interview gesagt –: Es ist tatsächlich richtig, dass die Wachstumsprognosen aufgrund der Reisewarnungen, aufgrund des ersten und des zweiten Lockdowns zurückgenommen werden mussten.
+	x	x	x	+s	o	o	139472	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Thomas Drozda, Josef Schellhorn, Kolleginnen und Kollegen betreffend „sofortige Ermöglichung von kontaktlosen Buch-Abholstationen im Lockdown“ Der Nationalrat wolle beschließen: „Um unnötige Umsatzsteuerminderung zu verhindern, wird die Bundesregierung aufge­fordert, dem Nationalrat eine Vorlage vorzulegen, mit der es heimischen BuchhändlerIn­nen unverzüglich ermöglicht wird, ihren KundInnen kontaktlose Buch-Abholstationen im Inland anzubieten.“ Heute um 11.30 Uhr waren die Buchhändler da, wir waren uns alle einig, wir haben alle in die Kameras gesprochen.
+	x	x	x	+s	o	o	139476	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Thomas Drozda, Sepp Schellhorn KollegInnen und Kollegen betreffend sofortige Ermöglichung von kontaktlosen Buch-Abholstationen im Lockdown eingebracht im Zuge der Debatte zum Bericht des Budgetausschusses über die Regie­rungsvorlage : Bundesgesetz über die Bewilligung des Bundesvoranschlages für das Jahr 2021  samt Anlagen , UG 16  Zur Unterstützung der durch die Covid-19-Pandemie besonders betroffenen Branchen wurden auch steuerliche Maßnahmen beschlossen.
-	x	x	-	x	o	-	139482	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Bereits derzeit ist absehbar, dass auch nach Ende des Lockdowns und der nötigen Maßnahmen zur Bekämpfung von Corona der Kultur­branche eine schwierige Zeit bevorsteht.
-	x	x	x	-	o	-	139484	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Empörung herrscht aktuell im Buchhandel darüber, dass kontakt­lose Abholstationen für Kunden während des Lockdowns untersagt wurden.
+	x	x	x	+s	o	o	139485	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Durch Abholstationen können Versandkosten gespart werden und die Buchkultur ihre wichtige Funktion gerade im Lockdown erfüllen.
-	x	x	-	+s	o	o	139486	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Die Branche steht vor dem Problem, dass durch den Versandhandel große Umsatzteile ins Ausland abwandern, es wäre daher auch für den inländischen Fiskus von Vorteil, wenn Buchhändler im Inland auch während des Lockdowns die Bücher online verkaufen und durch die Abholstationen den Österreicherinnen und Österreichern ausliefern könn­ten.
+	x	x	x	+s	o	o	139487	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	So wird eine unnötige Umsatzsteuerminderung verhindert und die ohnehin vom Lockdown schwer betroffene Branche könnte davon profitieren.
-	x	x	x	-	o	-	139499	2020_11_17	62	SPÖ	Abgeordneter Ing. Reinhold Einwallner (SPÖ)	False	Diesmal geht es Ihnen ganz ähnlich: Sie haben die Folgekosten des zweiten Lockdowns in diesem Budget nicht berücksichtigt.
-	x	x	-	x	-	-	139562	2020_11_17	62	SPÖ	Abgeordnete Mag. Karin Greiner (SPÖ)	False	Bedingt durch die Maßnahmen der ÖVP/Grüne-Bundesregierung, insbesondere der neuerliche Lockdown im November 2020 lassen die Einnahmen ganzer Branchen wegbrechen.
-	x	x	-	+s	o	-	139572	2020_11_17	62	SPÖ	Abgeordnete Mag. Karin Greiner (SPÖ)	False	Angesichts der sich weiter verschlechternden Situation durch den zweiten Lockdown, dessen Dauer immer noch nicht abzusehen ist, sowie der Mehrwertsteuersenkungen für manche Bereiche, was sich ebenfalls auf eine zusätzliche Reduktion der Ertragsanteile auswirkt, benötigen die Gemeinden dringend Finanzmittel um die Leistungen für die Bevölkerung aufrecht erhalten zu können.
-	x	x	x	-	-	-	139593	2020_11_17	62	FPÖ	Abgeordneter Christian Lausch (FPÖ)	False	Man macht im Frühjahr einen Lockdown, schließt die Schulen; dann hat vieles schon darauf hingedeutet, dass diese übernervöse Bundesregierung wahrscheinlich, wenn die Zahlen ansteigen, im Herbst wieder so etwas Ähnliches plant, aber es wurde immer gepredigt: Die Pflichtschulen bleiben offen.
o	x	x	x	-	o	-	139594	2020_11_17	62	FPÖ	Abgeordneter Christian Lausch (FPÖ)	False	Noch wenige Tage, bevor der Lockdown in Kraft getreten ist, hat man gesagt, die Pflichtschulen werden nicht geschlossen.
-	x	x	x	-	o	-	139971	2020_11_19	63	SPÖ	Abgeordneter Mag. Jörg Leichtfried (SPÖ)	False	Das war der Grund, warum es jetzt so plötzlich gekommen ist – in der Lockdownzeit, in der sie gehofft haben, dass es niemandem auffällt.
-	x	x	-	-	o	-	140342	2020_11_19	63	FPÖ	Abgeordneter Hermann Brückl, MA (FPÖ)	False	Stellen Sie ausreichend Budgetmittel für Schulschließungen und für Lockdown­verlierer zur Verfügung, denn wir kennen die Studien aus Belgien, aus Kanada!
-	x	x	-	x	o	-	140420	2020_11_19	63	SPÖ	Abgeordnete Mag. Dr. Sonja Hammerschmid (SPÖ)	False	– Aber auch da ein Blick in die Zahlen: Seit wir in diesen sanften Lockdown gegangen sind, zeigen uns die Zahlen sehr klar, dass das Infektionsgeschehen in den Oberstufen nicht abgenommen hat.
-	x	x	x	x	o	o	140466	2020_11_19	63	FPÖ	Abgeordneter Mag. Gerald Hauser	False	- -, was ganz aktuell ist und heute medial bereits verbreitet wurde, nämlich dass die Regierung plant, nach Beendigung des Lockdowns eine Maskenpflicht für Schüler ab dem Alter von zehn Jahren einzuführen.
-	x	+	x	+	+	+	140692	2020_11_26	67	ÖVP	Abgeordneter Mag. Andreas Hanger (ÖVP)	True	Es war nämlich tatsächlich so, dass wir leider diesen Teillockdown im Bereich der Gast­ronomie und des Tourismus machen mussten.
+	x	x	x	+	+	+	140695	2020_11_26	67	ÖVP	Abgeordneter Mag. Andreas Hanger (ÖVP)	True	Auch jetzt, beim zweiten Lockdown, ist es noch einmal gelungen, weil natürlich auch der Umsatzersatz für den Einzelhandel willkommen ist.
-	x	x	x	-	o	-	140745	2020_11_26	67	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Wir müssen uns hier alle bewusst sein, dass der Finanzminister wiederum ein Budget vorlegt, welches nur den Lockdown light berücksichtigt, nicht aber den zweiten harten Lockdown.
